url,name,title,direccion,horario,disponibilidad,province,latitude,longitude
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=39172L6D1&nombre=U.D.%20DE%20CASTRO%20URDIALES&seleccion=hora&espera=1,U.D. DE CASTRO URDIALES,"U.D. DE CASTRO URDIALES C/ Cayetano Tueros nº 8, (CASTRO URDIALES)","C/ Cayetano Tueros nº 8, (CASTRO URDIALES)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Cantabria,43.384895,-3.2208625
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=39676A6D1&nombre=U.D.%20DE%20SANTANDER-1&seleccion=hora&espera=1,U.D. DE SANTANDER-1,"U.D. DE SANTANDER-1 CALLE JOSE RAMÓN LÓPEZ DÓRIGA, 6, (SANTANDER)","CALLE JOSE RAMÓN LÓPEZ DÓRIGA, 6, (SANTANDER)",LMXJV 09:00-14:30/15:00-21:00; SD sin horario,Disponibilidad de citas: Alta,Cantabria,43.464014,-3.8007098
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=39676A6D2&nombre=U.D.%20DE%20SANTANDER-2&seleccion=hora&espera=1,U.D. DE SANTANDER-2,"U.D. DE SANTANDER-2 AVENIDA DEL DEPORTE, 4, (SANTANDER)","AVENIDA DEL DEPORTE, 4, (SANTANDER)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Cantabria,43.4615897,-3.8469024
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=39775L6D1&nombre=U.D.%20DE%20TORRELAVEGA&seleccion=hora&espera=1,U.D. DE TORRELAVEGA,"U.D. DE TORRELAVEGA CALLE JOAQUIN HOYOS, 18, (TORRELAVEGA)","CALLE JOAQUIN HOYOS, 18, (TORRELAVEGA)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Cantabria,43.349499,-4.0454534
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=48117L6D1&nombre=U.D.%20DE%20BASAURI&seleccion=hora&espera=1,U.D. DE BASAURI,"U.D. DE BASAURI AVENIDA LEHENDAKARI  AGIRRE  90, (BASAURI)","AVENIDA LEHENDAKARI AGIRRE 90, (BASAURI)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Bizkaia,43.2345642,-2.8767672
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=48131L6D1&nombre=U.D.%20DE%20BARAKALDO&seleccion=hora&espera=1,U.D. DE BARAKALDO,"U.D. DE BARAKALDO CALLE LASESARRE, 16, (BARAKALDO)","CALLE LASESARRE, 16, (BARAKALDO)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Bizkaia,43.3005731,-2.9880058
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=48191A6D1&nombre=U.D.%20DE%20BILBAO&seleccion=hora&espera=1,U.D. DE BILBAO,"U.D. DE BILBAO CALLE ALCALDE FELIPE UHAGÓN, 6, (BILBAO)","CALLE ALCALDE FELIPE UHAGÓN, 6, (BILBAO)",LMXJV 08:30-20:00; SD sin horario,Disponibilidad de citas: Alta,Bizkaia,43.259387,-2.9392242
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=48441L6D1&nombre=U.D.%20DE%20GETXO&seleccion=hora&espera=1,U.D. DE GETXO,"U.D. DE GETXO Calle arene 6 (plataforma acceso averiada), (GETXO)","Calle arene 6 (plataforma acceso averiada), (GETXO)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Bizkaia,43.3489618,-3.0078378
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=48831L6D1&nombre=U.D.%20DE%20SESTAO-PORTUGALETE&seleccion=hora&espera=1,U.D. DE SESTAO-PORTUGALETE,"U.D. DE SESTAO-PORTUGALETE CALLE CRISTOBAL MELLO, 4, (PORTUGALETE)","CALLE CRISTOBAL MELLO, 4, (PORTUGALETE)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Bizkaia,43.3234702,-3.019956
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=20349L6D1&nombre=U.D.%20DE%20EIBAR&seleccion=hora&espera=1,U.D. DE EIBAR,"U.D. DE EIBAR PLAZA UNTZAGA Nº 1, (EIBAR)","PLAZA UNTZAGA Nº 1, (EIBAR)",LMXJV 08:30-14:00; SD sin horario,Disponibilidad de citas: Media,Gipuzkoa,43.1844146,-2.4733512
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=20541L6D1&nombre=U.D.%20DE%20IR%C3%9AN&seleccion=hora&espera=1,U.D. DE IRÚN,"U.D. DE IRÚN PLAZA DEL ENSANCHE, 1, (IRUN)","PLAZA DEL ENSANCHE, 1, (IRUN)",LMXJV 08:30-15:00; SD sin horario,Disponibilidad de citas: Media,Gipuzkoa,43.3403341,-1.7924174
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=20829A6D1&nombre=U.D.%20DE%20DONOSTIA-SAN%20SEBASTI%C3%81N&seleccion=hora&espera=1,U.D. DE DONOSTIA-SAN SEBASTIÁN,"U.D. DE DONOSTIA-SAN SEBASTIÁN PASEO DEL URUMEA 17, (SAN SEBASTIAN)","PASEO DEL URUMEA 17, (SAN SEBASTIAN)",LMXJ 09:00-14:30/15:00-18:00; V 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Gipuzkoa,43.3085922,-1.9766044
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=01875A6D1&nombre=U.D.%20DE%20VITORIA-GASTEIZ&seleccion=hora&espera=1,U.D. DE VITORIA-GASTEIZ,"U.D. DE VITORIA-GASTEIZ CALLE OLAGUIBEL, 11, (ALAVA)","CALLE OLAGUIBEL, 11, (ALAVA)",LMXJ 08:30-14:30/16:00-18:30; V 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Araba-Álava,42.8466398,-2.6699372
